1	100	(11-1)[(1+1)]
2	100	(2*(2+2)+2)[2]
3	100	3*33+3/3
4	100	(444-44)/4
5	100	5*(5*5-5)
6	100	(666-66)/6
7	100	(777-77)/7
8	100	(888-88)/8
9	100	99+9/9
1	101	(11-1)[(1+1)]+1
1	102	(11-1)[(1+1)]+1+1
1	103	(11-1)[(1+1)]+1+1+1
1	104	(11-1)[(1+1)]+1+1+1+1
1	105	111-(1+1)*(1+1+1)
1	106	111-(11-1)/(1+1)
1	107	111-(1+1+1+1)
1	108	111-(1+1+1)
1	109	111-(1+1)
1	110	111-1
1	111	111
1	112	111+1
1	113	111+1+1
1	114	111+1+1+1
1	115	111+1+1+1+1
1	116	111+1+1+1+1+1
1	117	111+(1+1)*(1+1+1)
1	118	11[(1+1)]-1-1-1
1	119	11[(1+1)]-1-1
1	120	11[(1+1)]-1
1	121	11[(1+1)]
1	122	11[(1+1)]+1
1	123	11[(1+1)]+1+1
1	124	11[(1+1)]+1+1+1
1	125	11[(1+1)]+1+1+1+1
1	126	11[(1+1)]+1+1+1+1+1
1	127	(1+1)[(1+1+1+1)]+111
1	128	(1+1)[((1+1)*(1+1+1)+1)]
1	129	11*(11+1)-1-1-1
1	130	(11-1)*(11+1+1)
1	131	11*(11+1)-1
1	132	11*(11+1)
1	133	11*(11+1)+1
1	134	11*(11+1)+1+1
1	135	11*(11+1)+1+1+1
1	136	11*(11+1)+1+1+1+1
1	137	(1+1)*(11+1+1)+111
1	138	(1+1+1)[(1+1+1)]+111
1	139	(11-1)*(11+1+1+1)-1
1	140	(11-1)*(11+1+1+1)
1	141	(11+1)[(1+1)]-1-1-1
1	142	(11+1)[(1+1)]-1-1
1	143	11*(11+1+1)
1	400	((1+1)*(11-1))[(1+1)]
1	401	((1+1)*(11-1))[(1+1)]+1
1	402	((1+1)*(11-1))[(1+1)]+1+1
1	403	((1+1)*(11-1))[(1+1)]+1+1+1
1	404	(1+1)*(1+1)*((11-1)[(1+1)]+1)
1	405	11*111/(1+1+1)-1-1
1	406	11*111/(1+1+1)-1
1	407	11*111/(1+1+1)
1	408	11*111/(1+1+1)+1
1	409	11*111/(1+1+1)+1+1
1	410	((1+1)*(11-1))[(1+1)]+11-1
1	411	((1+1)*(11-1))[(1+1)]+11
1	412	((1+1)*(11-1))[(1+1)]+11+1
1	413	((1+1)*(11-1))[(1+1)]+11+1+1
1	414	(1+1)*((11+1+1+1)[(1+1)]+11)
1	415	(11+1+1)*(11*(1+1+1)-1)-1
1	416	(11+1+1)*(11*(1+1+1)-1)
1	417	11*(111/(1+1+1)+1)-1
1	418	11*(111/(1+1+1)+1)
1	419	11*(111/(1+1+1)+1)+1
1	420	(1+1)*(11-1)*(11+11-1)
1	421	(1+1+1)*(11+1)[(1+1)]-11
1	422	(1+1)*((1+1)*111-11)
1	423	(1+1)*((1+1)*111-11)+1
1	424	(1+1)*((1+1)*111-11+1)
1	425	(1+1)*((1+1)*111-11+1)+1
1	426	(1+1)*((1+1)*(111+1)-11)
1	427	(1+1)*((1+1)*(111+1)-11)+1
1	428	(1+1+1)*(11+1+1)*11-1
1	429	(1+1+1)*(11+1+1)*11
1	430	(11+11-1)[(1+1)]-11
1	431	(1+1+1)*(11+1)[(1+1)]-1
1	432	(1+1+1)*(11+1)[(1+1)]
1	433	(1+1+1)*(11+1)[(1+1)]+1
1	434	(1+1+1)*(11+1)[(1+1)]+1+1
1	435	(1+1+1)*((11+1)[(1+1)]+1)
1	436	(1+1)*(1+1)*(111-1-1)
1	437	(1+1)*(1+1)*(111-1-1)+1
1	438	(1+1)*((1+1)*(111-1)-1)
1	439	(11+11-1)[(1+1)]-1-1
1	440	(1+1)*(1+1)*(111-1)
1	441	(11+11-1)[(1+1)]
1	442	(11+11-1)[(1+1)]+1
1	443	(1+1)*(1+1)*111-1
1	444	(1+1)*(1+1)*111
1	445	(1+1)*(1+1)*111+1
1	446	(1+1)*((1+1)*111+1)
1	447	(1+1)*((1+1)*111+1)+1
1	448	(1+1)*(1+1)*(111+1)
1	449	(1+1)*(1+1)*(111+1)+1
1	450	(1+1)*((1+1)*(111+1)+1)
1	451	(1+1)*((1+1)*(111+1)+1)+1
1	452	(11+11-1)[(1+1)]+11
1	453	(11+11-1)[(1+1)]+11+1
1	454	(1+1)*(1+1)*111+11-1
1	455	(1+1)*(1+1)*111+11
1	456	(1+1)*(1+1)*111+11+1
1	457	(1+1)*((1+1)*111+1)+11
1	458	(1+1)*((1+1)*111+1)+11+1
1	459	(1+1)*(1+1)*(111+1)+11
1	460	(1+1)*(11-1)*(11+11+1)
1	461	(1+1)*11*(11+11-1)-1
1	462	(1+1)*11*(11+11-1)
1	463	(1+1)*11*(11+11-1)+1
1	464	(1+1)*(11[(1+1)]+111)
1	465	(1+1)*(11[(1+1)]+111)+1
1	466	(1+1)*((1+1)*111+11)
1	467	(1+1)*((1+1)*111+11)+1
1	468	(1+1)*((1+1)*111+11+1)
1	469	(1+1)*((1+1)*111+11+1)+1
1	470	(1+1)*((1+1)*(111+1)+11)
1	471	(11+11)[(1+1)]-11-1-1
1	472	(11+11)[(1+1)]-11-1
1	473	(11+11)[(1+1)]-11
1	474	(11+11)[(1+1)]-11+1
1	475	(11+11)[(1+1)]-11+1+1
1	476	(1+1)*((1+1)*(11[(1+1)]-1-1))
1	477	(1+1)*((1+1)*(11[(1+1)]-1-1))+1
1	478	(1+1)*(((1+1)*(11[(1+1)]-1-1))+1)
1	479	(1+1)*((1+1)*(11[(1+1)]-1))-1
1	480	(1+1)*(1+1)*(11[(1+1)]-1)
1	481	(11+11)[(1+1)]-1-1-1
1	482	(11+11)[(1+1)]-1-1
1	483	(11+11)[(1+1)]-1
1	484	(11+11)[(1+1)]
1	485	(11+11)[(1+1)]+1
1	486	(11+11)[(1+1)]+1+1
